Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Rollover,ExitType
,Long,EUR/CHF,1172255,1,05.09.13 08:00,09.10.13 09:00,1.23939,1.23070,-6.9626,0.05800,Target
,Long,EUR/CHF,1179256,1,06.09.13 19:00,09.10.13 09:00,1.23629,1.23070,-4.4363,0.05600,Target
,Long,EUR/CHF,1189957,1,11.09.13 03:30,09.10.13 09:00,1.24143,1.23070,-8.6277,0.04800,Target
,Long,EUR/CHF,1217758,1,19.09.13 01:30,09.10.13 09:00,1.23426,1.23070,-2.8394,0.03400,Target
,Long,EUR/CHF,1223859,2,20.09.13 08:00,09.10.13 09:00,1.23216,1.23070,-2.2510,0.06400,Target
,Long,EUR/CHF,1230960,4,23.09.13 22:30,09.10.13 09:00,1.22932,1.23070,4.6030,0.11200,Target
,Long,EUR/CHF,1246361,6,27.09.13 03:30,09.10.13 09:00,1.22686,1.23070,18.7811,0.12000,Target
,Long,EUR/CHF,1249062,11,27.09.13 17:00,09.10.13 09:00,1.22481,1.23070,52.716,0.22000,Target
,Long,EUR/CHF,1249663,17,29.09.13 23:00,09.10.13 09:00,1.22203,1.23070,119.649,0.34000,Target
,Long,EUR/CHF,1284764,1,09.10.13 09:30,11.10.13 13:30,1.23112,1.23288,1.44315,0.00400,Target
,Long,EUR/CHF,1295365,1,11.10.13 14:30,14.10.13 07:00,1.23392,1.23568,1.43699,0.00400,Target
,Long,EUR/CHF,1298266,1,14.10.13 08:00,15.10.13 10:00,1.23543,1.23719,1.44115,0.00200,Target
