
BackTest: Z4 EUR/CHF 2011..2014
[407: Wed 07.09. 23:00]  1.20916-1.20898-1.21197-1.20998
[408: Thu 08.09. 00:00]  1.20998-1.20908-1.21012-1.20946
[409: Thu 08.09. 01:00]  1.20946-1.20829-1.20980-1.20860
[410: Thu 08.09. 02:00]  1.20860-1.20789-1.20924-1.20827
[411: Thu 08.09. 03:00]  1.20827-1.20787-1.20861-1.20815
[412: Thu 08.09. 04:00]  1.20815-1.20766-1.20857-1.20809
[413: Thu 08.09. 05:00]  1.20809-1.20805-1.20971-1.20839
[414: Thu 08.09. 06:00]  1.20839-1.20758-1.20904-1.20779
[415: Thu 08.09. 07:00]  1.20779-1.20779-1.20994-1.20962
[416: Thu 08.09. 08:00]  1.20962-1.20961-1.21317-1.21284
[417: Thu 08.09. 09:00]  1.21284-1.21164-1.21600-1.21588
[418: Thu 08.09. 10:00]  1.21588-1.21294-1.21812-1.21518
[419: Thu 08.09. 11:00]  1.21518-1.21331-1.21567-1.21397
[420: Thu 08.09. 12:00]  1.21397-1.21354-1.21691-1.21433
[421: Thu 08.09. 13:00]  1.21433-1.21030-1.21462-1.21386
[422: Thu 08.09. 14:00]  1.21386-1.21165-1.21490-1.21271
[423: Thu 08.09. 15:00]  1.21271-1.21230-1.21825-1.21786
[424: Thu 08.09. 16:00]  1.21786-1.21365-1.21794-1.21571
[425: Thu 08.09. 17:00]  1.21571-1.21431-1.21694-1.21649
[426: Thu 08.09. 18:00]  1.21649-1.21364-1.21698-1.21624
[427: Thu 08.09. 19:00]  1.21624-1.21451-1.21709-1.21517
[428: Thu 08.09. 20:00]  1.21517-1.21463-1.21582-1.21531
[429: Thu 08.09. 21:00]  1.21531-1.21420-1.21572-1.21560
[430: Thu 08.09. 22:00]  1.21560-1.21485-1.21615-1.21523
[431: Thu 08.09. 23:00]  1.21523-1.21497-1.21622-1.21594
[432: Fri 09.09. 00:00]  1.21594-1.21473-1.21625-1.21528
[433: Fri 09.09. 01:00]  1.21528-1.21412-1.21703-1.21480
[434: Fri 09.09. 02:00]  1.21480-1.21407-1.21514-1.21513
[435: Fri 09.09. 03:00]  1.21513-1.21469-1.21571-1.21496
[436: Fri 09.09. 04:00]  1.21496-1.21323-1.21509-1.21396
[437: Fri 09.09. 05:00]  1.21396-1.21257-1.21409-1.21350
[438: Fri 09.09. 06:00]  1.21350-1.21167-1.21472-1.21309
[439: Fri 09.09. 07:00]  1.21309-1.21093-1.21383-1.21105
[440: Fri 09.09. 08:00]  1.21105-1.21096-1.21397-1.21322
[441: Fri 09.09. 09:00]  1.21322-1.21251-1.21704-1.21472
[442: Fri 09.09. 10:00]  1.21472-1.21259-1.21688-1.21564
[443: Fri 09.09. 11:00]  1.21564-1.21410-1.21620-1.21445
[444: Fri 09.09. 12:00]  1.21445-1.21330-1.21884-1.21692
[445: Fri 09.09. 13:00]  1.21692-1.21431-1.21732-1.21492
[446: Fri 09.09. 14:00]  1.21492-1.21025-1.21537-1.21028
[447: Fri 09.09. 15:00]  1.21028-1.21028-1.21380-1.21172
[448: Fri 09.09. 16:00]  1.21172-1.20569-1.21235-1.20829
[449: Fri 09.09. 17:00]  1.20829-1.20670-1.20968-1.20906
[450: Fri 09.09. 18:00]  1.20906-1.20675-1.20963-1.20736
[451: Fri 09.09. 19:00]  1.20736-1.20633-1.20819-1.20793
[452: Fri 09.09. 20:00]  1.20793-1.20657-1.20812-1.20705
[453: Fri 09.09. 21:00]  1.20705-1.20678-1.20775-1.20748
[454: Sun 11.09. 22:00]  1.20748-1.20576-1.20785-1.20673
[455: Sun 11.09. 23:00]  1.20673-1.20610-1.20731-1.20700
[456: Mon 12.09. 00:00]  1.20700-1.20614-1.20843-1.20632
[457: Mon 12.09. 01:00]  1.20632-1.20567-1.20772-1.20666
[458: Mon 12.09. 02:00]  1.20666-1.20580-1.20672-1.20637
[459: Mon 12.09. 03:00]  1.20637-1.20569-1.20644-1.20601
[460: Mon 12.09. 04:00]  1.20601-1.20556-1.20605-1.20581
[461: Mon 12.09. 05:00]  1.20581-1.20495-1.20707-1.20573
[462: Mon 12.09. 06:00]  1.20573-1.20415-1.20597-1.20497
[463: Mon 12.09. 07:00]  1.20497-1.20453-1.20742-1.20682
[464: Mon 12.09. 08:00]  1.20682-1.20513-1.20712-1.20642
[465: Mon 12.09. 09:00]  1.20642-1.20507-1.20759-1.20588
[466: Mon 12.09. 10:00]  1.20588-1.20470-1.20599-1.20531
[467: Mon 12.09. 11:00]  1.20531-1.20456-1.20542-1.20479
[468: Mon 12.09. 12:00]  1.20479-1.20425-1.20570-1.20475
[469: Mon 12.09. 13:00]  1.20475-1.20457-1.20666-1.20500
[470: Mon 12.09. 14:00]  1.20500-1.20447-1.20651-1.20512
[471: Mon 12.09. 15:00]  1.20512-1.20371-1.20627-1.20385
[472: Mon 12.09. 16:00]  1.20385-1.20378-1.20559-1.20477
[473: Mon 12.09. 17:00]  1.20477-1.20336-1.20509-1.20419
[474: Mon 12.09. 18:00]  1.20419-1.20374-1.20470-1.20439
[475: Mon 12.09. 19:00]  1.20439-1.20382-1.20475-1.20450
[476: Mon 12.09. 20:00]  1.20450-1.20350-1.20481-1.20458
[477: Mon 12.09. 21:00]  1.20458-1.20384-1.20476-1.20450
[478: Mon 12.09. 22:00]  1.20450-1.20383-1.20475-1.20383
[479: Mon 12.09. 23:00]  1.20383-1.20377-1.20462-1.20443
[480: Tue 13.09. 00:00]  1.20443-1.20424-1.20467-1.20437
[481: Tue 13.09. 01:00]  1.20437-1.20402-1.20465-1.20422
[482: Tue 13.09. 02:00]  1.20422-1.20390-1.20450-1.20436
[483: Tue 13.09. 03:00]  1.20436-1.20420-1.20460-1.20435
[484: Tue 13.09. 04:00]  1.20435-1.20385-1.20468-1.20407
[485: Tue 13.09. 05:00]  1.20407-1.20395-1.20457-1.20442
[486: Tue 13.09. 06:00]  1.20442-1.20409-1.20480-1.20444
[487: Tue 13.09. 07:00]  1.20444-1.20399-1.20510-1.20481
[488: Tue 13.09. 08:00]  1.20481-1.20390-1.20528-1.20446
[489: Tue 13.09. 09:00]  1.20446-1.20357-1.20477-1.20360
[490: Tue 13.09. 10:00]  1.20360-1.20311-1.20417-1.20372
[491: Tue 13.09. 11:00]  1.20372-1.20319-1.20472-1.20448
[492: Tue 13.09. 12:00]  1.20448-1.20349-1.20528-1.20442
[493: Tue 13.09. 13:00]  1.20442-1.20377-1.20457-1.20390
[494: Tue 13.09. 14:00]  1.20390-1.20353-1.20426-1.20406
[495: Tue 13.09. 15:00]  1.20406-1.20330-1.20446-1.20348
